"filename", "language", "SQL", "Python", "Properties", "Batch", "PowerShell", "C++", "XML", "JavaScript", "Markdown", "CSS", "C", "HTML", "Ini", "comment", "blank", "total"
"c:\Users\Tony\Desktop\interimproject\flask_profiler.sql", "SQL", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 24
"c:\Users\Tony\Desktop\interimproject\migrations\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 13, 51
"c:\Users\Tony\Desktop\interimproject\migrations\env.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 19, 92
"c:\Users\Tony\Desktop\interimproject\migrations\versions\fdaf0cb70533_initial_migration.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 29
"c:\Users\Tony\Desktop\interimproject\project\__init__.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 62
"c:\Users\Tony\Desktop\interimproject\project\algorithms.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5
"c:\Users\Tony\Desktop\interimproject\project\auth.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\Tony\Desktop\interimproject\project\db.sqlite", "SQL", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 192
"c:\Users\Tony\Desktop\interimproject\project\environments\hello.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Include\site\python3.9\greenlet\greenlet.h", "C++", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 39, 24, 147
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\click\__init__.py", "Python", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 76
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\click\_compat.py", "Python", 0, 439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 127, 628
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\click\_termui_impl.py", "Python", 0, 506, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 113, 719
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\click\_textwrap.py", "Python", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\click\_unicodefun.py", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 101
